source_key	zh-TW	status	evidence	notes
ファイアーエムブレム	聖火降魔錄	community-confirmed	Wikipedia FE series; Bahamut FE board	系列名；實際 ROM 文本出現時核對標題畫面
封印の剣	封印之劍	community-confirmed	Wikipedia FE6; Bahamut FEH posts	作品副標題與專用武器同名
ロイ	羅伊	community-confirmed	Wikipedia FE6; Bahamut FEH posts	主角
リリーナ	莉莉娜	community-confirmed	Wikipedia FE6; Bahamut FEH posts	奧斯提亞相關角色
ゼフィール	賽菲爾	community-confirmed	Wikipedia FE6; Bahamut FEH posts	伯爾尼國王
ギネヴィア	姬妮薇雅	community-confirmed	Wikipedia FE6; Bahamut FEH posts	伯爾尼公主
イドゥン	伊敦	community-confirmed	Wikipedia FE6; Bahamut FEH posts	終章相關角色；避免沿用簡體「伊冬」
ファ	法	community-confirmed	Wikipedia FE6; Bahamut FEH posts	龍族角色；避免以外部 patch 的字形覆蓋
エリウッド	艾利烏德	community-confirmed	Wikipedia FE6/prequel; Bahamut FEH posts	羅伊之父；需與 FE7 內文一致
エレブ大陸	埃列布大陸	provisional	Wikipedia FE6	地名；待第二個臺灣社群來源與 ROM 語境核對
リキア同盟	呂基亞同盟	provisional	Wikipedia FE6	地名；待第二個臺灣社群來源與 ROM 語境核對
ベルン王国	伯爾尼王國	provisional	Wikipedia FE6	地名；待第二個臺灣社群來源與 ROM 語境核對
オスティア	奧斯提亞	provisional	Wikipedia FE6	地名；待第二個臺灣社群來源與 ROM 語境核對
神将器	神將器	provisional	Wikipedia FE6; Bahamut FEH posts	系統／劇情術語；待日版字串與圖像文字確認
支援	支援	provisional	待 ROM UI 與多來源核對	系統詞
章	章	provisional	待 ROM UI 與多來源核對	章節標籤
ユニット	單位	provisional	待 ROM UI 與多來源核對	系統詞
クラス	職業	provisional	待 ROM UI 與多來源核對	系統詞
