id	character	status
0100	神	provisional
0101	殿	provisional
0102	名	provisional
0103	前	provisional
0104	中	provisional
0105	武	provisional
0106	器	provisional
0107	長	provisional
0108	剣	provisional
0109	発	provisional
010a	動	provisional
010b	呪	provisional
010c	使	provisional
010d	水	provisional
010e	火	provisional
010f	風	provisional
0110	地	provisional
0111	毒	provisional
0112	見	provisional
0113	宝	provisional
0114	石	provisional
0115	町	provisional
0116	行	provisional
0117	炎	provisional
0118	船	provisional
0119	海	provisional
011a	氷	provisional
011b	道	provisional
011c	具	provisional
011d	島	provisional
011e	男	provisional
011f	女	provisional
0120	力	provisional
0121	土	provisional
0122	大	provisional
0123	上	provisional
0124	玉	provisional
0125	山	provisional
0126	気	provisional
0127	目	provisional
0128	入	provisional
0129	口	provisional
012a	岩	provisional
012b	天	provisional
012c	空	provisional
012d	防	provisional
012e	母	provisional
012f	北	provisional
0130	戦	provisional
0131	手	provisional
0132	出	provisional
0133	下	provisional
0134	品	provisional
0135	同	provisional
0136	死	provisional
0137	木	provisional
0138	像	provisional
0139	以	provisional
013a	宮	provisional
013b	村	provisional
013c	東	provisional
013d	南	provisional
013e	森	provisional
013f	西	provisional
0140	灯	provisional
0141	台	provisional
0142	寺	provisional
0143	分	provisional
0144	先	provisional
0145	遺	provisional
0146	跡	provisional
0147	立	provisional
0148	人	provisional
0149	方	provisional
014a	時	provisional
014b	様	provisional
014c	主	provisional
014d	者	provisional
014e	陸	provisional
014f	説	provisional
0150	明	provisional
0151	士	provisional
0152	世	provisional
0153	光	provisional
0154	知	provisional
0155	伝	provisional
0156	金	provisional
0157	売	provisional
0158	客	provisional
0159	商	provisional
015a	屋	provisional
015b	子	provisional
015c	×	provisional
015d	年	provisional
015e	兄	provisional
015f	川	provisional
0160	官	provisional
0161	錬	provisional
0162	日	provisional
0163	民	provisional
0164	父	provisional
0165	冬	provisional
0166	古	provisional
0167	代	provisional
0168	夜	provisional
0169	雪	provisional
016a	春	provisional
016b	「	provisional
016c	」	provisional
016d	草	provisional
016e	原	provisional
016f	黄	provisional
0170	文	provisional
0171	○	provisional
