id	character	status
0100	神	provisional
0101	殿	provisional
0102	後	provisional
0103	名	provisional
0104	前	provisional
0105	黄	provisional
0106	金	provisional
0107	太	provisional
0108	陽	provisional
0109	開	provisional
010a	封	provisional
010b	印	provisional
010c	失	provisional
010d	時	provisional
010e	代	provisional
010f	力	provisional
0110	手	provisional
0111	武	provisional
0112	器	provisional
0113	長	provisional
0114	剣	provisional
0115	発	provisional
0116	動	provisional
0117	呪	provisional
0118	使	provisional
0119	水	provisional
011a	火	provisional
011b	風	provisional
011c	地	provisional
011d	毒	provisional
011e	見	provisional
011f	宝	provisional
0120	石	provisional
0121	中	provisional
0122	炎	provisional
0123	船	provisional
0124	海	provisional
0125	氷	provisional
0126	道	provisional
0127	具	provisional
0128	灯	provisional
0129	台	provisional
012a	運	provisional
012b	光	provisional
012c	様	provisional
012d	目	provisional
012e	下	provisional
012f	山	provisional
0130	男	provisional
0131	女	provisional
0132	土	provisional
0133	大	provisional
0134	上	provisional
0135	玉	provisional
0136	気	provisional
0137	左	provisional
0138	右	provisional
0139	入	provisional
013a	口	provisional
013b	岩	provisional
013c	天	provisional
013d	空	provisional
013e	防	provisional
013f	母	provisional
0140	行	provisional
0141	北	provisional
0142	戦	provisional
0143	出	provisional
0144	品	provisional
0145	同	provisional
0146	以	provisional
0147	死	provisional
0148	木	provisional
0149	像	provisional
014a	人	provisional
014b	先	provisional
014c	島	provisional
014d	陸	provisional
014e	小	provisional
014f	村	provisional
0150	寺	provisional
0151	高	provisional
0152	原	provisional
0153	町	provisional
0154	遺	provisional
0155	跡	provisional
0156	東	provisional
0157	西	provisional
0158	南	provisional
0159	古	provisional
015a	屋	provisional
015b	頂	provisional
015c	通	provisional
015d	信	provisional
015e	世	provisional
015f	界	provisional
0160	錬	provisional
0161	文	provisional
0162	明	provisional
0163	者	provisional
0164	年	provisional
0165	日	provisional
0166	士	provisional
0167	兄	provisional
0168	「	provisional
0169	」	provisional
016a	生	provisional
016b	知	provisional
016c	方	provisional
016d	売	provisional
016e	客	provisional
016f	商	provisional
0170	子	provisional
0171	主	provisional
0172	王	provisional
0173	父	provisional
0174	一	provisional
0175	官	provisional
0176	白	provisional
0177	赤	provisional
0178	×	provisional
0179	説	provisional
017a	分	provisional
017b	今	provisional
017c	立	provisional
017d	川	provisional
017e	伝	provisional
017f	森	provisional
0180	○	provisional
0181	…	provisional
0182	足	provisional
0183	夜	provisional
0184	買	provisional
0185	門	provisional
0186	冬	provisional
0187	雪	provisional
0188	月	provisional
0189	民	provisional
018a	宮	provisional
018b	春	provisional
018c	災	provisional
018d	草	provisional
018e	床	provisional
018f	正	provisional
0190	店	provisional
0191	星	provisional
0192	城	provisional
0193	外	provisional
0194	絵	provisional
0195	心	provisional
0196	間	provisional
0197	体	provisional
