ja	zh-TW	category	status	notes
劉備	劉備	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
献帝	獻帝	character	provisional	漢獻帝劉協的臺灣三國志慣用字形；Wikipedia 與巴哈姆特交叉支持；待 B3EJ ROM 劇情畫面核對
桃園	桃園	location	provisional	桃園三結義故事的慣用場景名稱；Wikipedia 與巴哈姆特交叉支持；待 B3EJ ROM 劇情畫面核對
桃園の誓い	桃園結義	event	provisional	臺灣三國題材慣用譯法；與桃園三結義條目交叉使用；待 B3EJ ROM 劇情畫面核對
孔明	孔明	character	provisional	諸葛亮的字；臺灣三國題材常用別稱，與諸葛亮條目交叉使用；待 B3EJ ROM 劇情語境核對
蜀	蜀	faction	provisional	臺灣三國志慣用國號／勢力名；待 B3EJ ROM 劇情上下文核對
魏	魏	faction	provisional	臺灣三國志慣用國號／勢力名；待 B3EJ ROM 劇情上下文核對
蜀漢	蜀漢	faction	provisional	中文三國史／臺灣三國志慣用國號；待 B3EJ ROM 劇情上下文核對
呉	吳	faction	provisional	臺灣三國志慣用繁體字形；與孫吳／吳國條目交叉使用；待 B3EJ ROM 劇情上下文核對
漢朝	漢朝	dynasty	provisional	臺灣歷史／三國志慣用朝代名稱；待 B3EJ ROM 劇情上下文核對
皇帝	皇帝	title	provisional	臺灣歷史／三國志慣用稱謂；待 B3EJ ROM 劇情上下文核對
玉璽	玉璽	item	provisional	臺灣歷史／三國題材慣用名物；待 B3EJ ROM 劇情上下文核對
國家	國家	setting	provisional	普通敘事用語；待 B3EJ ROM 劇情上下文核對
民心	民心	setting	provisional	普通歷史／敘事用語；待 B3EJ ROM 劇情上下文核對
領袖	領袖	title	provisional	普通政治／敘事用語；待 B3EJ ROM 劇情上下文核對
重用	重用	system	provisional	普通政治／任用用語；待 B3EJ ROM 劇情上下文核對
叛亂	叛亂	event	provisional	臺灣歷史／三國題材慣用事件用語；待 B3EJ ROM 劇情上下文核對
地位	地位	system	provisional	普通政治／敘事用語；待 B3EJ ROM 劇情上下文核對
関羽	關羽	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
張飛	張飛	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
曹操	曹操	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
孫権	孫權	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
諸葛亮	諸葛亮	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
趙雲	趙雲	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
黃忠	黃忠	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
魏延	魏延	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
龐統	龐統	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
法正	法正	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
司馬懿	司馬懿	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
司馬一族	司馬一族	faction	provisional	依司馬氏家族敘事保留；待 B3EJ ROM 劇情上下文核對
陸遜	陸遜	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
呂布	呂布	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
袁紹	袁紹	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
張遼	張遼	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
華雄	華雄	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
公孫瓚	公孫瓚	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
陶謙	陶謙	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
劉表	劉表	character	provisional	臺灣三國志慣用字形；待 B3EJ ROM 核對
汜水関	汜水關	location	provisional	臺灣攻略常見字形；日文攻略索引有顯示差異，待 ROM 核對
虎牢関	虎牢關	location	provisional	臺灣三國志慣用字形；待 ROM 核對
洛陽	洛陽	location	provisional	臺灣三國志慣用字形；待 ROM 核對
長安	長安	location	provisional	臺灣三國志慣用字形；待 ROM 核對
平原	平原	location	provisional	臺灣三國志慣用字形；待 ROM 核對
信都	信都	location	provisional	臺灣攻略常用字形；待 ROM 核對
廣川	廣川	location	provisional	臺灣攻略常用字形；待 ROM 核對
巨鹿	鉅鹿	location	provisional	臺灣繁體歷史地名慣用字形；待 ROM 核對
清河	清河	location	provisional	臺灣三國志慣用字形；待 ROM 核對
界橋	界橋	location	provisional	臺灣攻略常用字形；待 ROM 核對
北海	北海	location	provisional	臺灣三國志慣用字形；待 ROM 核對
徐州	徐州	location	provisional	臺灣三國志慣用字形；待 ROM 核對
小沛	小沛	location	provisional	臺灣三國志慣用字形；待 ROM 核對
