term_key	zh_tw	category	status	source_record_ids	source_raw_sha256s	source_urls	candidates	decision_note
character.grakiace	格拉基耶斯	character	accepted	486224	dbf32aa6f7179715a1a429c2922d518930d550b8a629d3be05ee2610c9dde838	https://forum.gamer.com.tw/G2.php?bsn=430&sn=2257;https://srw.wingzero.tw/srw/unit/zh-TW/59		巴哈姆特機戰D攻略與RoboInfo機體頁採用相同慣例；先列為可用術語。
character.joshua		character	deferred_conflict	486416	1f1c60b551157f8750cc46ee1d05e6cd887d084153f0601c565273f859702677	https://zh.wikipedia.org/wiki/超級機器人大戰D;https://srw.wingzero.tw/srw/unit/zh-TW/59	約修/喬舒亞·拉德克利夫	不同社群頁的短名與全名用法未收斂；在上下文確認前禁止回插。
character.lim		character	deferred_conflict	486384	de21e931adaab83a81344452e5a6dbdef341753b7e1e21560ac95836510e29c4	https://zh.wikipedia.org/wiki/超級機器人大戰D;https://srw.wingzero.tw/srw/unit/zh-TW/57	莉姆/克莉安娜·莉姆斯卡亞	短名與全名在不同社群資料並存；在上下文確認前禁止回插。
character.amuro		character	deferred_conflict	489572	3baf3ca165555c4f6eafd1ab0efe90818f04f87dd5ee38a1fbaadf557a8c7bea	https://zh.wikipedia.org/wiki/超級機器人大戰D;https://forum.gamer.com.tw/G2.php?bsn=430&sn=238	阿寶/阿姆羅	臺灣維基與巴哈姆特 D 攻略沿用不同慣例；不以單一來源強制定稿。
unit.ganador	迦納多	unit	accepted	490256	044100a2a40044a6cb54d000f6e09c7ff134ad964cd8f49f658cdf57d9165c02	https://zh.wikipedia.org/wiki/超級機器人大戰D;https://srw.wingzero.tw/srw/unit/zh-TW/57		臺灣維基與 RoboInfo 機體頁一致。
unit.strega	斯特蕾嘉	unit	accepted	490244	8bc6e3ee0c9a83f0044c1abd7da53f06363a7b004fcd484fb546ecf3d4b0b022	https://zh.wikipedia.org/wiki/超級機器人大戰D;https://srw.wingzero.tw/zh-TW/srw/games/34		臺灣維基與 RoboInfo D 條目一致。
unit.fortegigas	巨人機神	unit	accepted	490228	2f569b49bd81a81d95306bdb8c18dbb5bdfa27555c2b4c0577bc4fce61d950e2	https://srw.wingzero.tw/zh-TW/srw/games/34;https://srw.wingzero.tw/srw/unit/zh-TW/59		RoboInfo D 條目與機體頁一致。
unit.blanche_neige	白雪公主	unit	accepted	490300	860d93985e90ab8ee587f48901fdb79ad36be536ef977ef735a32bdb5f0d594f	https://zh.wikipedia.org/wiki/超級機器人大戰D;https://srw.wingzero.tw/zh-TW/srw/games/34		臺灣維基與 RoboInfo D 條目一致。
unit.ail_chevalier	空之騎士	unit	accepted	490348	de383115d5d3490cc093e5f25c78f29827a331ae9e0c71292f1883e746c51fe6	https://zh.wikipedia.org/wiki/超級機器人大戰D;https://srw.wingzero.tw/zh-TW/srw/games/34		臺灣維基與 RoboInfo D 條目一致。
ship.ra_cailum		ship	deferred_conflict	494140,520312	4fac39294647a2fa753d4f642b72f9403aeaff9c90b67d395ea871fa11c87714,4fac39294647a2fa753d4f642b72f9403aeaff9c90b67d395ea871fa11c87714	https://srw.wingzero.tw/zh-TW/works/12;https://forum.gamer.com.tw/G2.php?bsn=430&sn=238	拉·凱拉姆/拉・凱拉姆	社群資料的中點字元不同；先保留候選，避免在窄字容量未驗證前混入未核准字元。
spirit.accel	加速	spirit	accepted	511212	9e1bc00f0acc9ae68c772c8808d667208b45143959d3a5c4aa2b7cc3c3b76e96	https://forum.gamer.com.tw/G2.php?bsn=430&sn=1788;https://forum.gamer.com.tw/G2.php?bsn=430&lorder=4&parent=2107&sn=1109		巴哈姆特精神指令資料的兩個社群頁一致。
spirit.awaken	覺醒	spirit	accepted	509548	185566ea417123afc51d9e3c1528286f4736487456827a354f68d8409b3c1e13	https://forum.gamer.com.tw/G2.php?bsn=430&sn=1788;https://forum.gamer.com.tw/G2.php?bsn=430&lorder=4&parent=2107&sn=1109		巴哈姆特精神指令資料的兩個社群頁一致。
spirit.re_act	再動	spirit	accepted	509508	94480713f449eb2a6a0e00fa31db31bf723a44143ce46287795769a558846054	https://forum.gamer.com.tw/G2.php?bsn=430&sn=1788;https://forum.gamer.com.tw/G2.php?bsn=430&lorder=4&parent=2107&sn=1109		巴哈姆特精神指令資料的兩個社群頁一致。
spirit.soul	魂	spirit	accepted	509640	068462df1e349e60d80a78b0b4c8c88b30b4909a0d364a2490daf5a507beac95	https://forum.gamer.com.tw/G2.php?bsn=430&sn=1788;https://forum.gamer.com.tw/G2.php?bsn=430&lorder=4&parent=2107&sn=1109		巴哈姆特精神指令資料的兩個社群頁一致。
spirit.assault	突擊	spirit	accepted	510888	593d57914f5326e98b85b1773b6fda5aa92c46d549cddaab9d28648746611c39	https://forum.gamer.com.tw/G2.php?bsn=430&sn=1788;https://forum.gamer.com.tw/G2.php?bsn=430&lorder=4&parent=2107&sn=1109		巴哈姆特精神指令資料的兩個社群頁一致。
system.spirit_command	精神	system	accepted	511768	052b290368ea917cb65950a65ffc28c9e07f91343d915a52abb844245fbfcbf1	https://forum.gamer.com.tw/G2.php?bsn=430&sn=1788;https://suparobo-d.gorillawiki.jp/		系統詞沿用機戰社群的精神指令用語；不把它當專有名詞擴張。
ui.present	存在	system	provisional	526432	b5635bbc6aff0e3cb4cb6a25838273e93da18ab965919b445df2f4246a621a90	https://forum.gamer.com.tw/G2.php?bsn=430&sn=238;https://suparobo-d.gorillawiki.jp/		兩窄字 UI pair 的字面化 provisional target；需在實際畫面上下文再審，不外推為所有「有」語境。
